Name,Date,City,Deaths,Notes
"1971 Bangladesh genocide","25 March – 16 December 1971","Various","300000-3000000",""
"1971 Dhaka University massacre","25 March 1971","Dhaka","310+",""
"1971 killing of Bengali intellectuals","25 March-14 December 1971","Dhaka","1111",""
"Shankharipara massacre","26 March 1971","Dhaka","8000",""
"Ramna massacre","27 March 1971","Dhaka","250",""
"Sutrapur massacre","27 March 1971","Dhaka","15",""
"Santahar massacre","27 March – 17 April 1971","Santahar","1000+",""
"Jinjira massacre","1 April 1971","Dhaka","1000+",""
"Akhira massacre","17 April 1971","Dinajpur","93-125",""
"Jathibhanga massacre","21 April 1971","Thakurgaon","3000-3500",""
"Sree Angan massacre","23 April 1971","Faridpur","8","Massacre of 8 Bengali Hindu sanyasis"
"Karai Kadipur massacre","26 April 1971","Joypurhat","370",""
"Kaliganj massacre","27 April 1971","Rangpur","400",""
"Ishangopalpur massacre","2 May 1971","Faridpur","28",""
"Muzaffarabad massacre","3 May 1971","Chittagong","300+",""
"Naria massacre","5 May 1971","Sylhet","28",""
"Gopalpur massacre","5 May 1971","Natore","195",""
"Demra massacre","13 May 1971","Pabna","900+",""
"Satanikhil massacre","14 May 1971","Dhaka","14",""
"Baria massacre","14 May 1971","Dhaka","200",""
"Ketnar Bil massacre","15 May 1971","Barisal","500+",""
"Char Bhadrasan massacre","1971","Faridpur","50-60",""
"Hasamdia massacre","16 May 1971","Faridpur","33",""
"Sendia massacre","20 May 1971","Faridpur","127",""
"Chuknagar massacre","20 May 1971","Khulna","8000-10000",""
"Galimpur massacre","20 May 1971","Sylhet","33",""
"Dakra massacre","21 May 1971","Khulna","2000+",""
"Madhyapara massacre","22 May 1971","Faridpur","370",""
"Bhimnali massacre","22 May 1971","Barisal","15",""
"Bakhrabad massacre","24 May 1971","Comilla","142",""
"Burunga massacre","26 May 1971","Sylhet","71-94",""
"Bagbati massacre","27 May 1971","Pabna","200+",""
"Barguna massacre","29–30 May 1971","Barguna","100+",""
"Daldalia massacre","2 June 1971","Rangpur","20",""
"Golaghat massacre","13 June 1971","Nilphamari","437",""
"Adityapur massacre","14 June 1971","Sylhet","63",""
"Makalkandi massacre","18 August 1971","Sylhet","100+",""
"Pomara massacre","14 September 1971","Chittagong","13",""
"Krishnapur massacre","18 September 1971","Sylhet","127",""
"Suryamani massacre","7 October 1971","Barisal","24",""
"Shankharikathi massacre","4 November 1971","Khulna","42",""
"1974 Ramna massacre","17 March 1974","Dhaka","40-50",""
"Assassination of Sheikh Mujibur Rahman","15 August 1975","Dhaka","36",""
"1977 Bangladesh mass executions","9 October – November 1977","Various","1143",""
"Bhushanchhara massacre","31 May 1984","Rangamati","400",""
"1988 Chittagong massacre","24 January 1988","Chittagong","370",""
"Logang massacre","10 April 1992","Khagrachari","Unknown",""
"1999 Jessore bombings","6 March 1999","Jessore","10",""
"1999 Khulna mosque bombing","8 October 1999","Khulna","8",""
"2000 Chittagong massacre","14 July 2000","Chittagong","8",""
"2001 Ramna Batamul bombings","14 April 2001","Dhaka","9",""
"2001 Gopalganj Roman Catholic church bombing","1 June 2001","Gopalganj","10",""
"Mymensingh cinema bombings","6 December 2002","Mymensingh","27",""
"2003 Tangail shrine bombing","17 January 2003","Tangail","7",""
"Banshkhali carnage","18 November 2003","Chittagong","11",""
"Dhaka grenade attack","21 August 2004","Dhaka","24",""
"2005 November Bangladesh court bombing","29 November 2005","Gazipur","8",""
"2005 Netrokona bombing","8 December 2005","Netrokona","8",""
"Bangladesh Rifles revolt","25 February – 2 March 2009","Dhaka","74",""
"Shapla Square massacre","5 – 6 May 2013","Dhaka","1000-3000",""
"July massacre","16 July – 5 August 2024","Nationwide","1400",""
"Chankharpul massacre","5 August 2024","Dhaka","7",""
"Ashulia immolation killings","2024","Savar","6",""
