Name,Date,City,Deaths,Notes
1971 Bangladesh genocide,1971-03-25,Various,300000,""
1971 Dhaka University massacre,1971-03-25,Dhaka,310,""
1971 killing of Bengali intellectuals,1971-03-25,Dhaka,1111,""
Shankharipara massacre,1971-03-26,Dhaka,8000,""
Ramna massacre,1971-03-27,Dhaka,250,""
Sutrapur massacre,1971-03-27,Dhaka,15,""
Santahar massacre,1971-03-27,Santahar,1000,""
Jinjira massacre,1971-04-01,Dhaka,1000,""
Akhira massacre,1971-04-17,Dinajpur,93,""
Jathibhanga massacre,1971-04-21,Thakurgaon,3000,""
Sree Angan massacre,1971-04-23,Faridpur,8,"Massacre of 8 Bengali Hindu sanyasis"
Karai Kadipur massacre,1971-04-26,Joypurhat,370,""
Kaliganj massacre,1971-04-27,Rangpur,400,""
Ishangopalpur massacre,1971-05-02,Faridpur,28,""
Muzaffarabad massacre,1971-05-03,Chittagong,300,""
Naria massacre,1971-05-05,Sylhet,28,""
Gopalpur massacre,1971-05-05,Natore,195,""
Demra massacre,1971-05-13,Pabna,900,""
Satanikhil massacre,1971-05-14,Dhaka,14,""
Baria massacre,1971-05-14,Dhaka,200,""
Ketnar Bil massacre,1971-05-15,Barisal,500,""
Char Bhadrasan massacre,1971-05-16,Faridpur,50,""
Hasamdia massacre,1971-05-16,Faridpur,33,""
Sendia massacre,1971-05-20,Faridpur,127,""
Chuknagar massacre,1971-05-20,Khulna,8000,""
Galimpur massacre,1971-05-20,Sylhet,33,""
Dakra massacre,1971-05-21,Khulna,2000,""
Madhyapara massacre,1971-05-22,Faridpur,370,""
Bhimnali massacre,1971-05-22,Barisal,15,""
Bakhrabad massacre,1971-05-24,Comilla,142,""
Burunga massacre,1971-05-26,Sylhet,71,""
Bagbati massacre,1971-05-27,Pabna,200,""
Barguna massacre,1971-05-29,Barguna,100,""
Daldalia massacre,1971-06-02,Rangpur,20,""
Golaghat massacre,1971-06-13,Nilphamari,437,""
Adityapur massacre,1971-06-14,Sylhet,63,""
Makalkandi massacre,1971-08-18,Sylhet,100,""
Pomara massacre,1971-09-14,Chittagong,13,""
Krishnapur massacre,1971-09-18,Sylhet,127,""
Suryamani massacre,1971-10-07,Barisal,24,""
Shankharikathi massacre,1971-11-04,Khulna,42,""
