District,Occupation,Count
Dhaka,Educationist,73
Dhaka,Journalist,11
Dhaka,Lawyer,6
Dhaka,Physician,46
Dhaka,Literature and Artist,9
Dhaka,Engineer,3
Dhaka,Others,1

Faridpur,Educationist,43
Faridpur,Lawyer,2

Tangail,Educationist,29
Tangail,Others,1

Mymensingh,Educationist,75
Mymensingh,Lawyer,2

Chittagong,Educationist,62
Chittagong,Lawyer,1
Chittagong,Engineer,1

Chittagong Hill Tracts,Educationist,14
Chittagong Hill Tracts,Lawyer,1

Sylhet,Educationist,26
Sylhet,Lawyer,2

Comilla,Educationist,80
Comilla,Lawyer,5
Comilla,Physician,1

Noakhali,Educationist,43
Noakhali,Lawyer,2

Khulna,Educationist,65
Khulna,Journalist,1
Khulna,Lawyer,2

Jessore,Educationist,91
Jessore,Lawyer,4
Jessore,Physician,2

Barisal,Educationist,75

Patuakhali,Educationist,4

Kustia,Educationist,45

Rajshahi,Educationist,54
Rajshahi,Journalist,1
Rajshahi,Lawyer,5
Rajshahi,Engineer,1

Rangpur,Educationist,72
Rangpur,Lawyer,4

Dinajpur,Educationist,61
Dinajpur,Lawyer,2

Bogra,Educationist,26
Bogra,Lawyer,2

Pabna,Educationist,53
Pabna,Lawyer,2
